sample,ID,day,month,year,lat,long,fish_x,depth,substrate,energy,slope,sst,bst,nitr,phyt,phos,mld
11-100-34-2003,100,19,3,2003,51.16266667,-10.18091667,0,29.41,Sand to muddy sand,moderate,54.041,7.546993068,7.437993062,6.520003766,154.2200077,0.389997644,30.89995576
11-102-17-2003,102,14,3,2003,50.76391667,-9.168083333,3.253333333,55.99,Coarse sediment,moderate,6.127,7.846993082,7.841993082,9.110003708,78.58000942,0.595997653,58.79995617
11-105-24-2003,105,17,3,2003,50.6925,-9.577833333,0,68.55,Sand to muddy sand,moderate,12.2971,8.388993108,8.416993109,8.810003715,53.96000997,0.631997655,67.69995631
11-246-14-2003,246,13,3,2003,50.4805,-8.268166667,0,38.05,Coarse sediment,moderate,0.9127,6.75799303,6.816993033,9.93000369,150.3800078,0.333997641,29.49995574
11-256-4-2003,256,11,3,2003,51.62575,-8.46175,0,37.96,Sand to muddy sand,moderate,7.5711,6.572993021,6.585993022,8.440003723,154.3200077,0.417997645,36.19995584
11-46-21-2003,46,17,3,2003,51.19141667,-9.465416667,0,81.66,Mud to sandy mud,low,12.8181,8.192993098,8.092993093,8.520003721,100.2000089,0.573997652,90.59995665
11-48-23-2003,48,17,3,2003,50.99475,-9.486416667,0,57.7,Mixed sediment,low,1.5913,8.183993098,8.121993095,8.780003715,91.20000914,0.599997654,58.79995617
11-50-26-2003,50,18,3,2003,50.76583333,-9.8365,3.388,82.4,Mud to sandy mud,low,17.7616,8.585993117,8.528993114,8.760003716,61.84000979,0.641997656,81.29995651
11-51-28-2003,51,18,3,2003,50.8745,-9.50075,3.351666667,88.69,Mud to sandy mud,moderate,22.8041,8.139993096,8.148993096,8.960003711,79.20000941,0.615997654,74.0999564
11-63-3-2003,63,11,3,2003,51.61466667,-8.714916667,0,56.74,Coarse sediment,moderate,3.1748,6.74799303,6.773993031,8.690003717,135.3600082,0.459997647,56.29995614
11-64-5-2003,64,12,3,2003,51.58908333,-8.260166667,2.703666667,25.09,Mud to sandy mud,moderate,8.1139,6.311993009,6.305993009,8.030003732,185.900007,0.343997641,20.89995561
11-76-19-2003,76,14,3,2003,51.002,-8.93575,0,43.34,Coarse sediment,moderate,0.545,7.820993081,7.820993081,8.900003713,123.5400084,0.553997651,42.89995594
11-77-18-2003,77,14,3,2003,50.82666667,-9.212833333,0,70.97,Coarse sediment,moderate,4.8949,7.894993084,7.892993084,9.180003706,82.46000933,0.607997654,58.09995616
11-88-36-2003,88,20,3,2003,50.966,-10.19175,0,67.36,Mud to sandy mud,low,56.1101,8.157993097,8.038993091,7.700003739,106.7600088,0.51999765,77.29995645
11-90-43-2003,90,21,3,2003,50.62075,-10.186,0,86.12,Mud to sandy mud,low,40.371,8.543993115,8.427993109,8.260003727,76.34000947,0.595997653,90.69995665
11-93-44-2003,93,21,3,2003,50.50275,-10.32633333,0,67.95,Mud to sandy mud,moderate,62.0555,8.384993107,8.293993103,7.67000374,101.8000089,0.52799765,68.49995632
11-97-20-2003,97,17,3,2003,51.31625,-9.4085,3.126666667,69.67,Sand to muddy sand,low,29.8956,7.899993084,7.967993088,8.770003716,96.64000902,0.575997652,56.19995613
12-100-32-2002,100,20,3,2002,51.16991667,-10.18383333,0,26.41,Sand to muddy sand,moderate,6.9319,7.580993069,7.59899307,7.530003743,215.1800064,0.365997643,21.49995562
12-103-27-2002,103,19,3,2002,50.57158333,-9.913333333,3.443333333,83.18,Mixed sediment,moderate,0.3167,8.307993104,8.295993103,10.30000368,24.26001063,0.717997659,92.69995668
12-105-26-2002,105,18,3,2002,50.69291667,-9.573583333,0,68.55,Sand to muddy sand,moderate,12.2971,8.284993103,8.269993102,10.20000368,44.78001017,0.683997658,67.69995631
12-208-39-2002,208,21,3,2002,50.811,-10.27341667,0,62.27,Mud to sandy mud,low,83.40456,8.01499309,7.995993089,8.56000372,112.6400087,0.535997651,60.3999562
12-216-30-2002,216,19,3,2002,50.92416667,-9.719333333,0,77.54,Mud to sandy mud,low,11.0249,8.111993094,8.033993091,10.12000369,62.14000979,0.673997657,84.79995656
12-242-14-2002,242,13,3,2002,51.10091667,-8.531666667,0,36.8,Sand to muddy sand,moderate,2.0959,7.332993057,7.362993059,10.75000367,139.3200081,0.485997648,30.19995575
12-245-8-2002,245,12,3,2002,50.51133333,-8.72075,3.066197183,45.6,Coarse sediment,moderate,8.5681,7.718993076,7.785993079,10.03000369,120.8000085,0.52399765,46.59995599
12-257-18-2002,257,14,3,2002,51.40758333,-8.260833333,0,33.05,Mud to sandy mud,moderate,1.7266,6.847993034,6.932993038,10.85000367,193.9200068,0.419997645,31.59995577
12-258-17-2002,258,14,3,2002,51.32691667,-8.410583333,0,41.94,Mud to sandy mud,moderate,10.9449,6.940993039,6.96399304,10.91000367,170.2600074,0.443997646,40.5999559
12-259-16-2002,259,14,3,2002,51.27083333,-8.205916667,0,37.07,Mud to sandy mud,low,0.0892,6.878993036,6.908993037,10.91000367,169.3000074,0.409997645,34.89995582
12-50-28-2002,50,19,3,2002,50.76266667,-9.840666667,0,82.4,Mud to sandy mud,low,17.7616,8.212993099,8.184993098,10.33000368,33.46001043,0.707997659,81.29995651
12-56-44-2002,56,22,3,2002,50.5005,-10.18116667,3.878333333,79.98,Mud to sandy mud,moderate,29.4368,8.247993101,8.295993103,9.750003694,54.94000995,0.661997657,86.29995658
12-63-21-2002,63,15,3,2002,51.61441667,-8.711,0,56.74,Coarse sediment,moderate,3.1748,7.195993051,7.217993052,9.820003692,143.980008,0.493997649,56.29995614
12-70-35-2002,70,20,3,2002,51.00375,-10.25141667,0,46.36,Sand to muddy sand,low,23.1652,7.720993076,7.689993074,7.67000374,154.6400077,0.437997646,41.49995591
12-81-33-2002,81,20,3,2002,51.23208333,-9.89275,0,48.48,Mud to sandy mud,low,5.6419,7.738993077,7.685993074,8.620003719,162.7800075,0.503997649,46.899956
12-83-3-2002,83,11,3,2002,51.36058333,-9.78975,0,84.48,Sand to muddy sand,low,29.8994,7.834993081,7.789993079,9.850003691,94.72000906,0.639997656,62.49995623
