X,Y
-70.125,-20
-70.125,-19.998
-70.125,-19.996
-70.125,-19.995
-70.125,-19.993
-70.126,-19.993
-70.126,-19.989
-70.125,-19.988
-70.125,-19.987
-70.126,-19.986
-70.126,-19.985
-70.127,-19.984
-70.127,-19.983
-70.128,-19.982
-70.128,-19.981
-70.129,-19.98
-70.129,-19.978
-70.13,-19.977
-70.13,-19.976
-70.13,-19.975
-70.13,-19.974
-70.133,-19.972
-70.133,-19.972
-70.135,-19.97
-70.135,-19.969
-70.135,-19.968
-70.135,-19.967
-70.135,-19.967
-70.136,-19.967
-70.137,-19.966
-70.138,-19.966
-70.139,-19.965
-70.139,-19.963
-70.14,-19.962
-70.14,-19.96
-70.14,-19.959
-70.14,-19.958
-70.139,-19.958
-70.139,-19.955
-70.14,-19.954
-70.14,-19.953
-70.14,-19.952
-70.14,-19.951
-70.141,-19.95
-70.141,-19.947
-70.14,-19.947
-70.14,-19.944
-70.14,-19.943
-70.14,-19.942
-70.143,-19.938
-70.143,-19.938
-70.144,-19.937
-70.144,-19.934
-70.145,-19.933
-70.145,-19.93
-70.14,-19.926
-70.14,-19.923
-70.14,-19.923
-70.14,-19.922
-70.14,-19.921
-70.14,-19.918
-70.141,-19.918
-70.141,-19.914
-70.142,-19.913
-70.142,-19.91
-70.143,-19.909
-70.143,-19.908
-70.144,-19.907
-70.144,-19.906
-70.145,-19.905
-70.148,-19.905
-70.149,-19.903
-70.149,-19.902
-70.15,-19.901
-70.15,-19.899
-70.149,-19.898
-70.149,-19.898
-70.148,-19.897
-70.148,-19.896
-70.148,-19.895
-70.147,-19.895
-70.145,-19.894
-70.145,-19.892
-70.145,-19.892
-70.145,-19.891
-70.143,-19.889
-70.142,-19.889
-70.141,-19.888
-70.14,-19.888
-70.138,-19.886
-70.137,-19.886
-70.134,-19.883
-70.134,-19.88
-70.135,-19.879
-70.135,-19.878
-70.135,-19.877
-70.135,-19.874
-70.136,-19.873
-70.136,-19.873
-70.139,-19.87
-70.139,-19.868
-70.141,-19.866
-70.142,-19.866
-70.143,-19.865
-70.143,-19.864
-70.142,-19.863
-70.142,-19.863
-70.14,-19.861
-70.14,-19.86
-70.141,-19.859
-70.141,-19.858
-70.142,-19.858
-70.142,-19.857
-70.143,-19.856
-70.143,-19.855
-70.145,-19.853
-70.145,-19.85
-70.146,-19.849
-70.147,-19.85
-70.148,-19.85
-70.149,-19.849
-70.149,-19.848
-70.15,-19.848
-70.15,-19.847
-70.15,-19.846
-70.151,-19.846
-70.153,-19.844
-70.152,-19.843
-70.151,-19.843
-70.15,-19.842
-70.15,-19.838
-70.151,-19.837
-70.151,-19.836
-70.155,-19.832
-70.157,-19.832
-70.158,-19.831
-70.16,-19.831
-70.162,-19.83
-70.164,-19.83
-70.165,-19.828
-70.165,-19.826
-70.166,-19.825
-70.167,-19.825
-70.168,-19.824
-70.168,-19.822
-70.167,-19.82
-70.165,-19.822
-70.164,-19.822
-70.164,-19.822
-70.164,-19.823
-70.163,-19.824
-70.16,-19.824
-70.159,-19.823
-70.159,-19.82
-70.16,-19.818
-70.159,-19.817
-70.157,-19.817
-70.155,-19.816
-70.155,-19.815
-70.154,-19.813
-70.154,-19.813
-70.153,-19.812
-70.153,-19.803
-70.154,-19.802
-70.154,-19.8
-70.153,-19.799
-70.153,-19.795
-70.152,-19.794
-70.152,-19.793
-70.15,-19.792
-70.15,-19.789
-70.151,-19.788
-70.151,-19.788
-70.152,-19.787
-70.152,-19.786
-70.151,-19.786
-70.15,-19.785
-70.149,-19.785
-70.149,-19.785
-70.149,-19.781
-70.15,-19.78
-70.15,-19.779
-70.152,-19.777
-70.152,-19.775
-70.153,-19.774
-70.153,-19.773
-70.154,-19.773
-70.154,-19.772
-70.158,-19.767
-70.158,-19.767
-70.158,-19.766
-70.159,-19.766
-70.16,-19.765
-70.16,-19.763
-70.158,-19.761
-70.158,-19.76
-70.156,-19.758
-70.156,-19.757
-70.158,-19.755
-70.155,-19.752
-70.155,-19.751
-70.155,-19.75
-70.155,-19.747
-70.155,-19.747
-70.155,-19.746
-70.156,-19.745
-70.156,-19.743
-70.155,-19.743
-70.156,-19.742
-70.156,-19.74
-70.154,-19.738
-70.153,-19.738
-70.153,-19.738
-70.153,-19.734
-70.152,-19.733
-70.152,-19.73
-70.154,-19.728
-70.154,-19.72
-70.156,-19.718
-70.157,-19.718
-70.157,-19.718
-70.157,-19.715
-70.159,-19.713
-70.16,-19.713
-70.161,-19.712
-70.163,-19.712
-70.164,-19.712
-70.164,-19.71
-70.166,-19.708
