"","Year","Lon_M","Lat_M","MUN","ANC","DC","SST","SALI","GSST","BAT","CHL"
"463",2001,-76.92403,-14.83067,0,0,53.74833,16.29724,34.93025,0.07544939,-4234.587,0.760492341
"2532",2001,-71.44215,-18.33063,0,0,34.14318,16.7198,34.94701,0.06701433,-1227.954,0.427692731
"2478",2001,-74.73096,-15.80585,0,0,10.05427,15.76996,34.88464,0.04472966,-963.8992,1.133495443
"2535",2001,-74.324,-17.63367,0,0,90.78897,18.00072,34.99514,0.05468242,-4198.347,0.317131672
"3500",2001,-75.20779,-16.6048,0,0,65.12851,16.7488,34.93115,0.09763827,-5026.125,0.249514204
"2603",2001,-79.7335,-10.62133,0,0,96.46303,17.90424,34.99012,0.0640961,-5050.387,0.275843824
"39",2001,-72.0198,-18.30945,0,0,51.3362,16.96051,34.97192,0.4669561,-3273.73,0.285341338
"945",2001,-74.9734,-16.72442,0,0,63.25622,16.83783,34.91273,0.1677733,-5359.893,0.266843479
"2705",2001,-72.23808,-17.67593,0,0,37.92733,16.58257,34.9667,0.05359779,-1609.438,0.554962896
"2088",2001,-81.23133,-8.083,0,0,105.1562,18.65239,34.99925,0.04259755,-5950.642,0.762418466
"2816",2001,-72.28688,-17.76528,0,0,43.911,16.51104,34.96229,0.08262575,-1804.527,0.484049495
"2212",2001,-79.695,-11.316,0,0,112.9413,18.59425,35.11322,0.03708222,-5427.98,0.193009447
"1148",2001,-73.38577,-18.1265,0,0,96.41943,17.69141,35.01708,0.0314588,-4555.025,0.409465958
"3746",2001,-74.89525,-17.08,0,0,80.4055,17.12646,34.96002,0.1623857,-4693.652,0.332550097
"1186",2001,-73.4101,-18.11252,0,0,96.18443,17.69014,35.01701,0.02927418,-4560.78,0.416309211
"3395",2001,-74.70332,-17.21572,0,0,80.63386,17.10922,34.93883,0.1598209,-4613.367,0.303714237
"1161",2001,-74.04087,-16.6254,0,0,30.12059,16.00956,34.90177,0.1244141,-3404.271,0.357731268
"1082",2001,-78.0656,-11.24597,0,0,24.12306,17.15458,35.04867,0.1533117,-313.9756,1.318128695
"757",2001,-77.19705,-15.01243,0,0,72.72726,16.61332,34.96303,0.2069719,-3821.873,0.386691243
"941",2001,-73.87772,-16.39183,0,0,13.48951,16.28785,34.8786,0.2740354,-979.8604,0.967057005
"1282",2001,-75.65753,-16.578,0,0,75.78636,17.11584,34.98793,0.06717786,-3880.218,0.202728138
